confidence_factor,correctly_classified,correctly_classified_percent,incorrectly_classified,incorrectly_classified_percent
0.025,941,49.8411,947,50.1589
0.050,942,49.8941,946,50.1059
0.075,942,49.8941,946,50.1059
0.100,942,49.8941,946,50.1059
0.125,942,49.8941,946,50.1059
0.150,944,50,944,50
0.175,944,50,944,50
0.200,978,51.8008,910,48.1992
0.225,995,52.7013,893,47.2987
0.250,1001,53.0191,887,46.9809
0.275,1081,57.2564,807,42.7436
0.300,1101,58.3157,787,41.6843
0.325,1138,60.2754,750,39.7246
0.350,1146,60.6992,742,39.3008
0.375,1149,60.8581,739,39.1419
0.400,1166,61.7585,722,38.2415
0.425,1176,62.2881,712,37.7119
0.450,1180,62.5,708,37.5
0.475,1191,63.0826,697,36.9174
0.500,1191,63.0826,697,36.9174