missing_percentage,confidence_factor,correctly_classified,accuracy
0.0,0.025,941,49.8411
0.0,0.05,942,49.8941
0.0,0.075,942,49.8941
0.0,0.125,942,49.8941
0.0,0.150,944,50
0.0,0.175,944,50
0.0,0.1,942,49.8941
0.0,0.225,995,52.7013
0.0,0.25,1001,53.0191
0.0,0.275,1085,57.4682
0.0,0.2,978,51.8008
0.0,0.325,1136,60.1695
0.0,0.350,1144,60.5932
0.0,0.375,1148,60.8051
0.0,0.3,1136,60.1695
0.0,0.425,1172,62.0763
0.0,0.45,1176,62.2881
0.0,0.475,1187,62.8708
0.0,0.4,1164,61.6525
0.0,0.5,1187,62.8708
10.0,0.025,888,47.0339
10.0,0.05,928,49.1525
10.0,0.075,928,49.1525
10.0,0.125,928,49.1525
10.0,0.150,932,49.3644
10.0,0.175,932,49.3644
10.0,0.1,928,49.1525
10.0,0.225,989,52.3835
10.0,0.25,999,52.9131
10.0,0.275,1090,57.7331
10.0,0.2,933,49.4174
10.0,0.325,1122,59.428
10.0,0.350,1139,60.3284
10.0,0.375,1147,60.7521
10.0,0.3,1117,59.1631
10.0,0.425,1173,62.1292
10.0,0.45,1176,62.2881
10.0,0.475,1187,62.8708
10.0,0.4,1168,61.8644
10.0,0.5,1187,62.8708
12.5,0.025,935,49.5233
12.5,0.05,936,49.5763
12.5,0.075,936,49.5763
12.5,0.125,936,49.5763
12.5,0.150,939,49.7352
12.5,0.175,942,49.8941
12.5,0.1,936,49.5763
12.5,0.225,992,52.5424
12.5,0.25,998,52.8602
12.5,0.275,1001,53.0191
12.5,0.2,976,51.6949
12.5,0.325,1109,58.7394
12.5,0.350,1113,58.9513
12.5,0.375,1124,59.5339
12.5,0.3,1078,57.0975
12.5,0.425,1162,61.5466
12.5,0.45,1162,61.5466
12.5,0.475,1174,62.1822
12.5,0.4,1144,60.5932
12.5,0.5,1174,62.1822
15.0,0.025,938,49.6822
15.0,0.05,939,49.7352
15.0,0.075,939,49.7352
15.0,0.125,941,49.8411
15.0,0.150,941,49.8411
15.0,0.175,941,49.8411
15.0,0.1,939,49.7352
15.0,0.225,994,52.6483
15.0,0.25,1000,52.9661
15.0,0.275,1087,57.5742
15.0,0.2,942,49.8941
15.0,0.325,1100,58.2627
15.0,0.350,1127,59.6928
15.0,0.375,1137,60.2225
15.0,0.3,1100,58.2627
15.0,0.425,1173,62.1292
15.0,0.45,1175,62.2352
15.0,0.475,1178,62.3941
15.0,0.4,1158,61.3347
15.0,0.5,1178,62.3941
17.5,0.025,888,47.0339
17.5,0.05,930,49.2585
17.5,0.075,930,49.2585
17.5,0.125,930,49.2585
17.5,0.150,933,49.4174
17.5,0.175,933,49.4174
17.5,0.1,930,49.2585
17.5,0.225,1014,53.7076
17.5,0.25,991,52.4894
17.5,0.275,1071,56.7267
17.5,0.2,933,49.4174
17.5,0.325,1120,59.322
17.5,0.350,1127,59.6928
17.5,0.375,1156,61.2288
17.5,0.3,1084,57.4153
17.5,0.425,1180,62.5
17.5,0.45,1182,62.6059
17.5,0.475,1187,62.8708
17.5,0.4,1163,61.5996
17.5,0.5,1187,62.8708
20.0,0.025,888,47.0339
20.0,0.05,925,48.9936
20.0,0.075,927,49.0996
20.0,0.125,927,49.0996
20.0,0.150,927,49.0996
20.0,0.175,927,49.0996
20.0,0.1,927,49.0996
20.0,0.225,975,51.6419
20.0,0.25,983,52.0657
20.0,0.275,1068,56.5678
20.0,0.2,927,49.0996
20.0,0.325,1127,59.6928
20.0,0.350,1129,59.7987
20.0,0.375,1159,61.3877
20.0,0.3,1110,58.7924
20.0,0.425,1166,61.7585
20.0,0.45,1177,62.3411
20.0,0.475,1177,62.3411
20.0,0.4,1159,61.3877
20.0,0.5,1177,62.3411
22.5,0.025,933,49.4174
22.5,0.05,936,49.5763
22.5,0.075,936,49.5763
22.5,0.125,936,49.5763
22.5,0.150,936,49.5763
22.5,0.175,936,49.5763
22.5,0.1,936,49.5763
22.5,0.225,985,52.1716
22.5,0.25,988,52.3305
22.5,0.275,988,52.3305
22.5,0.2,982,52.0127
22.5,0.325,1119,59.2691
22.5,0.350,1130,59.8517
22.5,0.375,1145,60.6462
22.5,0.3,1093,57.8919
22.5,0.425,1163,61.5996
22.5,0.45,1165,61.7055
22.5,0.475,1168,61.8644
22.5,0.4,1159,61.3877
22.5,0.5,1168,61.8644
25.0,0.025,888,47.0339
25.0,0.05,888,47.0339
25.0,0.075,922,48.8347
25.0,0.125,924,48.9407
25.0,0.150,924,48.9407
25.0,0.175,928,49.1525
25.0,0.1,924,48.9407
25.0,0.225,982,52.0127
25.0,0.25,1069,56.6208
25.0,0.275,1084,57.4153
25.0,0.2,957,50.6886
25.0,0.325,1125,59.5869
25.0,0.350,1130,59.8517
25.0,0.375,1145,60.6462
25.0,0.3,1112,58.8983
25.0,0.425,1175,62.2352
25.0,0.45,1175,62.2352
25.0,0.475,1178,62.3941
25.0,0.4,1169,61.9174
25.0,0.5,1178,62.3941
2.5,0.025,940,49.7881
2.5,0.05,941,49.8411
2.5,0.075,941,49.8411
2.5,0.125,941,49.8411
2.5,0.150,943,49.947
2.5,0.175,943,49.947
2.5,0.1,941,49.8411
2.5,0.225,992,52.5424
2.5,0.25,1085,57.4682
2.5,0.275,1094,57.9449
2.5,0.2,977,51.7479
2.5,0.325,1124,59.5339
2.5,0.350,1142,60.4873
2.5,0.375,1154,61.1229
2.5,0.3,1124,59.5339
2.5,0.425,1175,62.2352
2.5,0.45,1182,62.6059
2.5,0.475,1193,63.1886
2.5,0.4,1170,61.9703
2.5,0.5,1193,63.1886
27.5,0.025,888,47.0339
27.5,0.05,888,47.0339
27.5,0.075,919,48.6758
27.5,0.125,919,48.6758
27.5,0.150,921,48.7818
27.5,0.175,921,48.7818
27.5,0.1,919,48.6758
27.5,0.225,947,50.1589
27.5,0.25,981,51.9597
27.5,0.275,1028,54.4492
27.5,0.2,946,50.1059
27.5,0.325,1102,58.3686
27.5,0.350,1115,59.0572
27.5,0.375,1140,60.3814
27.5,0.3,1073,56.8326
27.5,0.425,1156,61.2288
27.5,0.45,1158,61.3347
27.5,0.475,1166,61.7585
27.5,0.4,1152,61.0169
27.5,0.5,1170,61.9703
30.0,0.025,888,47.0339
30.0,0.05,888,47.0339
30.0,0.075,888,47.0339
30.0,0.125,921,48.7818
30.0,0.150,921,48.7818
30.0,0.175,950,50.3178
30.0,0.1,921,48.7818
30.0,0.225,952,50.4237
30.0,0.25,1002,53.072
30.0,0.275,985,52.1716
30.0,0.2,952,50.4237
30.0,0.325,1059,56.0911
30.0,0.350,1096,58.0508
30.0,0.375,1122,59.428
30.0,0.3,985,52.1716
30.0,0.425,1134,60.0636
30.0,0.45,1138,60.2754
30.0,0.475,1146,60.6992
30.0,0.4,1128,59.7458
30.0,0.5,1146,60.6992
32.5,0.025,888,47.0339
32.5,0.05,929,49.2055
32.5,0.075,929,49.2055
32.5,0.125,929,49.2055
32.5,0.150,929,49.2055
32.5,0.175,929,49.2055
32.5,0.1,929,49.2055
32.5,0.225,976,51.6949
32.5,0.25,1012,53.6017
32.5,0.275,1040,55.0847
32.5,0.2,930,49.2585
32.5,0.325,1096,58.0508
32.5,0.350,1104,58.4746
32.5,0.375,1126,59.6398
32.5,0.3,1070,56.6737
32.5,0.425,1162,61.5466
32.5,0.45,1162,61.5466
32.5,0.475,1162,61.5466
32.5,0.4,1136,60.1695
32.5,0.5,1162,61.5466
35.0,0.025,888,47.0339
35.0,0.05,888,47.0339
35.0,0.075,918,48.6229
35.0,0.125,918,48.6229
35.0,0.150,918,48.6229
35.0,0.175,918,48.6229
35.0,0.1,918,48.6229
35.0,0.225,946,50.1059
35.0,0.25,978,51.8008
35.0,0.275,981,51.9597
35.0,0.2,946,50.1059
35.0,0.325,1068,56.5678
35.0,0.350,1112,58.8983
35.0,0.375,1135,60.1165
35.0,0.3,1016,53.8136
35.0,0.425,1150,60.911
35.0,0.45,1154,61.1229
35.0,0.475,1157,61.2818
35.0,0.4,1140,60.3814
35.0,0.5,1161,61.4936
37.5,0.025,888,47.0339
37.5,0.05,921,48.7818
37.5,0.075,923,48.8877
37.5,0.125,923,48.8877
37.5,0.150,923,48.8877
37.5,0.175,923,48.8877
37.5,0.1,923,48.8877
37.5,0.225,972,51.4831
37.5,0.25,972,51.4831
37.5,0.275,975,51.6419
37.5,0.2,923,48.8877
37.5,0.325,1094,57.9449
37.5,0.350,1110,58.7924
37.5,0.375,1117,59.1631
37.5,0.3,982,52.0127
37.5,0.425,1147,60.7521
37.5,0.45,1159,61.3877
37.5,0.475,1162,61.5466
37.5,0.4,1141,60.4343
37.5,0.5,1169,61.9174
40.0,0.025,888,47.0339
40.0,0.05,924,48.9407
40.0,0.075,925,48.9936
40.0,0.125,925,48.9936
40.0,0.150,925,48.9936
40.0,0.175,925,48.9936
40.0,0.1,925,48.9936
40.0,0.225,993,52.5953
40.0,0.25,990,52.4364
40.0,0.275,1040,55.0847
40.0,0.2,925,48.9936
40.0,0.325,1120,59.322
40.0,0.350,1123,59.4809
40.0,0.375,1132,59.9576
40.0,0.3,1107,58.6335
40.0,0.425,1161,61.4936
40.0,0.45,1165,61.7055
40.0,0.475,1168,61.8644
40.0,0.4,1139,60.3284
40.0,0.5,1168,61.8644
42.5,0.025,888,47.0339
42.5,0.05,919,48.6758
42.5,0.075,919,48.6758
42.5,0.125,920,48.7288
42.5,0.150,922,48.8347
42.5,0.175,952,50.4237
42.5,0.1,920,48.7288
42.5,0.225,953,50.4767
42.5,0.25,974,51.589
42.5,0.275,1051,55.6674
42.5,0.2,952,50.4237
42.5,0.325,1093,57.8919
42.5,0.350,1122,59.428
42.5,0.375,1136,60.1695
42.5,0.3,1054,55.8263
42.5,0.425,1172,62.0763
42.5,0.45,1172,62.0763
42.5,0.475,1172,62.0763
42.5,0.4,1160,61.4407
42.5,0.5,1172,62.0763
45.0,0.025,888,47.0339
45.0,0.05,915,48.464
45.0,0.075,915,48.464
45.0,0.125,918,48.6229
45.0,0.150,918,48.6229
45.0,0.175,918,48.6229
45.0,0.1,915,48.464
45.0,0.225,918,48.6229
45.0,0.25,1016,53.8136
45.0,0.275,1016,53.8136
45.0,0.2,918,48.6229
45.0,0.325,1078,57.0975
45.0,0.350,1106,58.5805
45.0,0.375,1114,59.0042
45.0,0.3,1074,56.8856
45.0,0.425,1151,60.964
45.0,0.45,1157,61.2818
45.0,0.475,1163,61.5996
45.0,0.4,1137,60.2225
45.0,0.5,1163,61.5996
47.5,0.025,888,47.0339
47.5,0.05,921,48.7818
47.5,0.075,922,48.8347
47.5,0.125,922,48.8347
47.5,0.150,922,48.8347
47.5,0.175,922,48.8347
47.5,0.1,922,48.8347
47.5,0.225,922,48.8347
47.5,0.25,988,52.3305
47.5,0.275,1030,54.5551
47.5,0.2,922,48.8347
47.5,0.325,1115,59.0572
47.5,0.350,1126,59.6398
47.5,0.375,1137,60.2225
47.5,0.3,1086,57.5212
47.5,0.425,1169,61.9174
47.5,0.45,1171,62.0233
47.5,0.475,1171,62.0233
47.5,0.4,1149,60.8581
47.5,0.5,1171,62.0233
50.0,0.025,888,47.0339
50.0,0.05,888,47.0339
50.0,0.075,888,47.0339
50.0,0.125,917,48.5699
50.0,0.150,917,48.5699
50.0,0.175,917,48.5699
50.0,0.1,917,48.5699
50.0,0.225,973,51.536
50.0,0.25,980,51.9068
50.0,0.275,1013,53.6547
50.0,0.2,917,48.5699
50.0,0.325,1099,58.2097
50.0,0.350,1117,59.1631
50.0,0.375,1127,59.6928
50.0,0.3,1060,56.1441
50.0,0.425,1149,60.8581
50.0,0.45,1153,61.0699
50.0,0.475,1161,61.4936
50.0,0.4,1137,60.2225
50.0,0.5,1161,61.4936
5.0,0.025,940,49.7881
5.0,0.05,941,49.8411
5.0,0.075,941,49.8411
5.0,0.125,941,49.8411
5.0,0.150,943,49.947
5.0,0.175,943,49.947
5.0,0.1,941,49.8411
5.0,0.225,992,52.5424
5.0,0.25,1000,52.9661
5.0,0.275,1003,53.125
5.0,0.2,976,51.6949
5.0,0.325,1115,59.0572
5.0,0.350,1123,59.4809
5.0,0.375,1143,60.5403
5.0,0.3,1107,58.6335
5.0,0.425,1171,62.0233
5.0,0.45,1171,62.0233
5.0,0.475,1182,62.6059
5.0,0.4,1159,61.3877
5.0,0.5,1182,62.6059
52.5,0.025,888,47.0339
52.5,0.05,888,47.0339
52.5,0.075,888,47.0339
52.5,0.125,912,48.3051
52.5,0.150,912,48.3051
52.5,0.175,912,48.3051
52.5,0.1,888,47.0339
52.5,0.225,933,49.4174
52.5,0.25,933,49.4174
52.5,0.275,1019,53.9725
52.5,0.2,912,48.3051
52.5,0.325,1100,58.2627
52.5,0.350,1134,60.0636
52.5,0.375,1141,60.4343
52.5,0.3,1068,56.5678
52.5,0.425,1155,61.1758
52.5,0.45,1155,61.1758
52.5,0.475,1158,61.3347
52.5,0.4,1151,60.964
52.5,0.5,1158,61.3347
55.0,0.025,888,47.0339
55.0,0.05,888,47.0339
55.0,0.075,888,47.0339
55.0,0.125,911,48.2521
55.0,0.150,911,48.2521
55.0,0.175,911,48.2521
55.0,0.1,888,47.0339
55.0,0.225,972,51.4831
55.0,0.25,980,51.9068
55.0,0.275,1054,55.8263
55.0,0.2,912,48.3051
55.0,0.325,1060,56.1441
55.0,0.350,1081,57.2564
55.0,0.375,1135,60.1165
55.0,0.3,1054,55.8263
55.0,0.425,1162,61.5466
55.0,0.45,1166,61.7585
55.0,0.475,1169,61.9174
55.0,0.4,1147,60.7521
55.0,0.5,1173,62.1292
57.5,0.025,888,47.0339
57.5,0.05,914,48.411
57.5,0.075,915,48.464
57.5,0.125,915,48.464
57.5,0.150,915,48.464
57.5,0.175,915,48.464
57.5,0.1,915,48.464
57.5,0.225,915,48.464
57.5,0.25,972,51.4831
57.5,0.275,997,52.8072
57.5,0.2,915,48.464
57.5,0.325,1049,55.5614
57.5,0.350,1090,57.7331
57.5,0.375,1098,58.1568
57.5,0.3,1048,55.5085
57.5,0.425,1124,59.5339
57.5,0.45,1137,60.2225
57.5,0.475,1144,60.5932
57.5,0.4,1115,59.0572
57.5,0.5,1144,60.5932
60.0,0.025,888,47.0339
60.0,0.05,888,47.0339
60.0,0.075,888,47.0339
60.0,0.125,910,48.1992
60.0,0.150,910,48.1992
60.0,0.175,910,48.1992
60.0,0.1,910,48.1992
60.0,0.225,957,50.6886
60.0,0.25,957,50.6886
60.0,0.275,960,50.8475
60.0,0.2,910,48.1992
60.0,0.325,1084,57.4153
60.0,0.350,1094,57.9449
60.0,0.375,1134,60.0636
60.0,0.3,1051,55.6674
60.0,0.425,1152,61.0169
60.0,0.45,1162,61.5466
60.0,0.475,1162,61.5466
60.0,0.4,1138,60.2754
60.0,0.5,1162,61.5466
62.5,0.025,888,47.0339
62.5,0.05,888,47.0339
62.5,0.075,911,48.2521
62.5,0.125,913,48.3581
62.5,0.150,913,48.3581
62.5,0.175,917,48.5699
62.5,0.1,911,48.2521
62.5,0.225,917,48.5699
62.5,0.25,962,50.9534
62.5,0.275,962,50.9534
62.5,0.2,917,48.5699
62.5,0.325,1082,57.3093
62.5,0.350,1098,58.1568
62.5,0.375,1120,59.322
62.5,0.3,1072,56.7797
62.5,0.425,1137,60.2225
62.5,0.45,1141,60.4343
62.5,0.475,1144,60.5932
62.5,0.4,1124,59.5339
62.5,0.5,1144,60.5932
65.0,0.025,888,47.0339
65.0,0.05,888,47.0339
65.0,0.075,888,47.0339
65.0,0.125,888,47.0339
65.0,0.150,888,47.0339
65.0,0.175,888,47.0339
65.0,0.1,888,47.0339
65.0,0.225,930,49.2585
65.0,0.25,954,50.5297
65.0,0.275,1040,55.0847
65.0,0.2,902,47.7754
65.0,0.325,1047,55.4555
65.0,0.350,1107,58.6335
65.0,0.375,1121,59.375
65.0,0.3,1046,55.4025
65.0,0.425,1132,59.9576
65.0,0.45,1152,61.0169
65.0,0.475,1152,61.0169
65.0,0.4,1121,59.375
65.0,0.5,1152,61.0169
67.5,0.025,888,47.0339
67.5,0.05,888,47.0339
67.5,0.075,908,48.0932
67.5,0.125,908,48.0932
67.5,0.150,908,48.0932
67.5,0.175,908,48.0932
67.5,0.1,908,48.0932
67.5,0.225,936,49.5763
67.5,0.25,936,49.5763
67.5,0.275,973,51.536
67.5,0.2,908,48.0932
67.5,0.325,1070,56.6737
67.5,0.350,1103,58.4216
67.5,0.375,1131,59.9047
67.5,0.3,1060,56.1441
67.5,0.425,1146,60.6992
67.5,0.45,1160,61.4407
67.5,0.475,1163,61.5996
67.5,0.4,1142,60.4873
67.5,0.5,1163,61.5996
70.0,0.025,888,47.0339
70.0,0.05,888,47.0339
70.0,0.075,888,47.0339
70.0,0.125,888,47.0339
70.0,0.150,888,47.0339
70.0,0.175,902,47.7754
70.0,0.1,888,47.0339
70.0,0.225,952,50.4237
70.0,0.25,952,50.4237
70.0,0.275,1046,55.4025
70.0,0.2,902,47.7754
70.0,0.325,1072,56.7797
70.0,0.350,1096,58.0508
70.0,0.375,1119,59.2691
70.0,0.3,1072,56.7797
70.0,0.425,1147,60.7521
70.0,0.45,1153,61.0699
70.0,0.475,1158,61.3347
70.0,0.4,1126,59.6398
70.0,0.5,1158,61.3347
72.5,0.025,888,47.0339
72.5,0.05,888,47.0339
72.5,0.075,888,47.0339
72.5,0.125,888,47.0339
72.5,0.150,888,47.0339
72.5,0.175,888,47.0339
72.5,0.1,888,47.0339
72.5,0.225,888,47.0339
72.5,0.25,962,50.9534
72.5,0.275,964,51.0593
72.5,0.2,888,47.0339
72.5,0.325,1083,57.3623
72.5,0.350,1089,57.6801
72.5,0.375,1122,59.428
72.5,0.3,1076,56.9915
72.5,0.425,1148,60.8051
72.5,0.45,1152,61.0169
72.5,0.475,1155,61.1758
72.5,0.4,1134,60.0636
72.5,0.5,1155,61.1758
75.0,0.025,888,47.0339
75.0,0.05,888,47.0339
75.0,0.075,888,47.0339
75.0,0.125,888,47.0339
75.0,0.150,888,47.0339
75.0,0.175,888,47.0339
75.0,0.1,888,47.0339
75.0,0.225,888,47.0339
75.0,0.25,927,49.0996
75.0,0.275,954,50.5297
75.0,0.2,888,47.0339
75.0,0.325,1084,57.4153
75.0,0.350,1090,57.7331
75.0,0.375,1117,59.1631
75.0,0.3,1048,55.5085
75.0,0.425,1132,59.9576
75.0,0.45,1138,60.2754
75.0,0.475,1141,60.4343
75.0,0.4,1128,59.7458
75.0,0.5,1141,60.4343
7.5,0.025,937,49.6292
7.5,0.05,940,49.7881
7.5,0.075,940,49.7881
7.5,0.125,940,49.7881
7.5,0.150,942,49.8941
7.5,0.175,942,49.8941
7.5,0.1,940,49.7881
7.5,0.225,981,51.9597
7.5,0.25,989,52.3835
7.5,0.275,1074,56.8856
7.5,0.2,942,49.8941
7.5,0.325,1133,60.0106
7.5,0.350,1135,60.1165
7.5,0.375,1146,60.6992
7.5,0.3,1118,59.2161
7.5,0.425,1173,62.1292
7.5,0.45,1173,62.1292
7.5,0.475,1184,62.7119
7.5,0.4,1161,61.4936
7.5,0.5,1184,62.7119
77.5,0.025,888,47.0339
77.5,0.05,888,47.0339
77.5,0.075,906,47.9873
77.5,0.125,906,47.9873
77.5,0.150,906,47.9873
77.5,0.175,906,47.9873
77.5,0.1,906,47.9873
77.5,0.225,906,47.9873
77.5,0.25,952,50.4237
77.5,0.275,953,50.4767
77.5,0.2,906,47.9873
77.5,0.325,1070,56.6737
77.5,0.350,1086,57.5212
77.5,0.375,1114,59.0042
77.5,0.3,1061,56.197
77.5,0.425,1128,59.7458
77.5,0.45,1137,60.2225
77.5,0.475,1139,60.3284
77.5,0.4,1117,59.1631
77.5,0.5,1143,60.5403
80.0,0.025,888,47.0339
80.0,0.05,888,47.0339
80.0,0.075,888,47.0339
80.0,0.125,888,47.0339
80.0,0.150,888,47.0339
80.0,0.175,888,47.0339
80.0,0.1,888,47.0339
80.0,0.225,888,47.0339
80.0,0.25,944,50
80.0,0.275,979,51.8538
80.0,0.2,888,47.0339
80.0,0.325,1048,55.5085
80.0,0.350,1063,56.303
80.0,0.375,1101,58.3157
80.0,0.3,987,52.2775
80.0,0.425,1126,59.6398
80.0,0.45,1136,60.1695
80.0,0.475,1136,60.1695
80.0,0.4,1109,58.7394
80.0,0.5,1136,60.1695
82.5,0.025,888,47.0339
82.5,0.05,888,47.0339
82.5,0.075,888,47.0339
82.5,0.125,888,47.0339
82.5,0.150,888,47.0339
82.5,0.175,888,47.0339
82.5,0.1,888,47.0339
82.5,0.225,888,47.0339
82.5,0.25,888,47.0339
82.5,0.275,944,50
82.5,0.2,888,47.0339
82.5,0.325,1073,56.8326
82.5,0.350,1083,57.3623
82.5,0.375,1118,59.2161
82.5,0.3,1031,54.6081
82.5,0.425,1140,60.3814
82.5,0.45,1142,60.4873
82.5,0.475,1145,60.6462
82.5,0.4,1134,60.0636
82.5,0.5,1145,60.6462
85.0,0.025,888,47.0339
85.0,0.05,888,47.0339
85.0,0.075,888,47.0339
85.0,0.125,888,47.0339
85.0,0.150,888,47.0339
85.0,0.175,888,47.0339
85.0,0.1,888,47.0339
85.0,0.225,888,47.0339
85.0,0.25,888,47.0339
85.0,0.275,1047,55.4555
85.0,0.2,888,47.0339
85.0,0.325,1077,57.0445
85.0,0.350,1085,57.4682
85.0,0.375,1099,58.2097
85.0,0.3,1052,55.7203
85.0,0.425,1137,60.2225
85.0,0.45,1139,60.3284
85.0,0.475,1139,60.3284
85.0,0.4,1122,59.428
85.0,0.5,1139,60.3284
