confidence_factor,number_of_bins,correctly_classified,accuracy
0.025,01,940,49.7881
0.025,02,940,49.7881
0.025,03,940,49.7881
0.025,04,940,49.7881
0.025,05,941,49.8411
0.025,06,940,49.7881
0.025,07,940,49.7881
0.025,08,940,49.7881
0.025,09,888,47.0339
0.025,10,940,49.7881
0.025,11,888,47.0339
0.025,12,888,47.0339
0.025,13,888,47.0339
0.025,14,888,47.0339
0.025,15,888,47.0339
0.025,16,888,47.0339
0.025,17,888,47.0339
0.025,18,888,47.0339
0.025,19,888,47.0339
0.025,20,888,47.0339
0.05,01,941,49.8411
0.05,02,941,49.8411
0.05,03,941,49.8411
0.05,04,941,49.8411
0.05,05,942,49.8941
0.05,06,941,49.8411
0.05,07,941,49.8411
0.05,08,941,49.8411
0.05,09,938,49.6822
0.05,10,941,49.8411
0.05,11,938,49.6822
0.05,12,938,49.6822
0.05,13,938,49.6822
0.05,14,938,49.6822
0.05,15,938,49.6822
0.05,16,933,49.4174
0.05,17,933,49.4174
0.05,18,938,49.6822
0.05,19,938,49.6822
0.05,20,938,49.6822
0.075,01,941,49.8411
0.075,02,941,49.8411
0.075,03,941,49.8411
0.075,04,941,49.8411
0.075,05,942,49.8941
0.075,06,941,49.8411
0.075,07,941,49.8411
0.075,08,941,49.8411
0.075,09,939,49.7352
0.075,10,941,49.8411
0.075,11,939,49.7352
0.075,12,939,49.7352
0.075,13,939,49.7352
0.075,14,939,49.7352
0.075,15,939,49.7352
0.075,16,934,49.4703
0.075,17,934,49.4703
0.075,18,939,49.7352
0.075,19,939,49.7352
0.075,20,939,49.7352
0.1,01,941,49.8411
0.1,02,941,49.8411
0.1,03,941,49.8411
0.1,04,941,49.8411
0.1,05,942,49.8941
0.1,06,941,49.8411
0.1,07,941,49.8411
0.1,08,941,49.8411
0.1,09,939,49.7352
0.1,10,941,49.8411
0.1,11,939,49.7352
0.1,12,939,49.7352
0.1,13,939,49.7352
0.1,14,939,49.7352
0.1,15,939,49.7352
0.1,16,934,49.4703
0.1,17,934,49.4703
0.1,18,939,49.7352
0.1,19,939,49.7352
0.1,20,939,49.7352
0.125,01,941,49.8411
0.125,02,941,49.8411
0.125,03,941,49.8411
0.125,04,941,49.8411
0.125,05,942,49.8941
0.125,06,941,49.8411
0.125,07,941,49.8411
0.125,08,941,49.8411
0.125,09,939,49.7352
0.125,10,941,49.8411
0.125,11,939,49.7352
0.125,12,939,49.7352
0.125,13,939,49.7352
0.125,14,939,49.7352
0.125,15,939,49.7352
0.125,16,934,49.4703
0.125,17,934,49.4703
0.125,18,939,49.7352
0.125,19,939,49.7352
0.125,20,939,49.7352
0.150,01,943,49.947
0.150,02,943,49.947
0.150,03,943,49.947
0.150,04,943,49.947
0.150,05,944,50
0.150,06,943,49.947
0.150,07,943,49.947
0.150,08,943,49.947
0.150,09,941,49.8411
0.150,10,943,49.947
0.150,11,941,49.8411
0.150,12,941,49.8411
0.150,13,941,49.8411
0.150,14,941,49.8411
0.150,15,941,49.8411
0.150,16,934,49.4703
0.150,17,934,49.4703
0.150,18,941,49.8411
0.150,19,941,49.8411
0.150,20,941,49.8411
0.175,01,943,49.947
0.175,02,943,49.947
0.175,03,943,49.947
0.175,04,943,49.947
0.175,05,944,50
0.175,06,943,49.947
0.175,07,943,49.947
0.175,08,943,49.947
0.175,09,941,49.8411
0.175,10,943,49.947
0.175,11,941,49.8411
0.175,12,941,49.8411
0.175,13,941,49.8411
0.175,14,941,49.8411
0.175,15,941,49.8411
0.175,16,934,49.4703
0.175,17,934,49.4703
0.175,18,941,49.8411
0.175,19,941,49.8411
0.175,20,941,49.8411
0.2,01,944,50
0.2,02,944,50
0.2,03,944,50
0.2,04,954,50.5297
0.2,05,945,50.053
0.2,06,944,50
0.2,07,944,50
0.2,08,944,50
0.2,09,941,49.8411
0.2,10,944,50
0.2,11,941,49.8411
0.2,12,941,49.8411
0.2,13,941,49.8411
0.2,14,941,49.8411
0.2,15,941,49.8411
0.2,16,934,49.4703
0.2,17,934,49.4703
0.2,18,941,49.8411
0.2,19,941,49.8411
0.2,20,941,49.8411
0.225,01,954,50.5297
0.225,02,944,50
0.225,03,945,50.053
0.225,04,954,50.5297
0.225,05,945,50.053
0.225,06,944,50
0.225,07,944,50
0.225,08,944,50
0.225,09,942,49.8941
0.225,10,944,50
0.225,11,941,49.8411
0.225,12,942,49.8941
0.225,13,942,49.8941
0.225,14,942,49.8941
0.225,15,942,49.8941
0.225,16,935,49.5233
0.225,17,935,49.5233
0.225,18,942,49.8941
0.225,19,942,49.8941
0.225,20,942,49.8941
0.25,01,956,50.6356
0.25,02,944,50
0.25,03,945,50.053
0.25,04,954,50.5297
0.25,05,945,50.053
0.25,06,944,50
0.25,07,944,50
0.25,08,944,50
0.25,09,942,49.8941
0.25,10,944,50
0.25,11,941,49.8411
0.25,12,942,49.8941
0.25,13,942,49.8941
0.25,14,942,49.8941
0.25,15,942,49.8941
0.25,16,935,49.5233
0.25,17,935,49.5233
0.25,18,942,49.8941
0.25,19,942,49.8941
0.25,20,942,49.8941
0.275,01,956,50.6356
0.275,02,951,50.3708
0.275,03,945,50.053
0.275,04,954,50.5297
0.275,05,945,50.053
0.275,06,944,50
0.275,07,944,50
0.275,08,944,50
0.275,09,942,49.8941
0.275,10,944,50
0.275,11,941,49.8411
0.275,12,942,49.8941
0.275,13,942,49.8941
0.275,14,942,49.8941
0.275,15,942,49.8941
0.275,16,943,49.947
0.275,17,943,49.947
0.275,18,942,49.8941
0.275,19,942,49.8941
0.275,20,942,49.8941
0.3,01,956,50.6356
0.3,02,953,50.4767
0.3,03,945,50.053
0.3,04,954,50.5297
0.3,05,945,50.053
0.3,06,944,50
0.3,07,944,50
0.3,08,944,50
0.3,09,942,49.8941
0.3,10,944,50
0.3,11,941,49.8411
0.3,12,942,49.8941
0.3,13,942,49.8941
0.3,14,942,49.8941
0.3,15,942,49.8941
0.3,16,943,49.947
0.3,17,943,49.947
0.3,18,942,49.8941
0.3,19,942,49.8941
0.3,20,942,49.8941
0.325,01,956,50.6356
0.325,02,981,51.9597
0.325,03,945,50.053
0.325,04,954,50.5297
0.325,05,993,52.5953
0.325,06,983,52.0657
0.325,07,944,50
0.325,08,944,50
0.325,09,1020,54.0254
0.325,10,1037,54.9258
0.325,11,1020,54.0254
0.325,12,1019,53.9725
0.325,13,942,49.8941
0.325,14,942,49.8941
0.325,15,942,49.8941
0.325,16,943,49.947
0.325,17,943,49.947
0.325,18,942,49.8941
0.325,19,942,49.8941
0.325,20,942,49.8941
0.350,01,956,50.6356
0.350,02,983,52.0657
0.350,03,964,51.0593
0.350,04,1006,53.2839
0.350,05,1002,53.072
0.350,06,999,52.9131
0.350,07,1031,54.6081
0.350,08,1018,53.9195
0.350,09,1033,54.714
0.350,10,1037,54.9258
0.350,11,1045,55.3496
0.350,12,1027,54.3962
0.350,13,1027,54.3962
0.350,14,1033,54.714
0.350,15,1063,56.303
0.350,16,1054,55.8263
0.350,17,1058,56.0381
0.350,18,1065,56.4089
0.350,19,1081,57.2564
0.350,20,1070,56.6737
0.375,01,956,50.6356
0.375,02,983,52.0657
0.375,03,979,51.8538
0.375,04,1006,53.2839
0.375,05,1009,53.4428
0.375,06,999,52.9131
0.375,07,1058,56.0381
0.375,08,1021,54.0784
0.375,09,1039,55.0318
0.375,10,1042,55.1907
0.375,11,1047,55.4555
0.375,12,1027,54.3962
0.375,13,1039,55.0318
0.375,14,1052,55.7203
0.375,15,1065,56.4089
0.375,16,1064,56.3559
0.375,17,1075,56.9386
0.375,18,1079,57.1504
0.375,19,1087,57.5742
0.375,20,1070,56.6737
0.4,01,981,51.9597
0.4,02,986,52.2246
0.4,03,998,52.8602
0.4,04,1010,53.4958
0.4,05,1009,53.4428
0.4,06,1001,53.0191
0.4,07,1062,56.25
0.4,08,1030,54.5551
0.4,09,1042,55.1907
0.4,10,1061,56.197
0.4,11,1064,56.3559
0.4,12,1026,54.3432
0.4,13,1040,55.0847
0.4,14,1062,56.25
0.4,15,1072,56.7797
0.4,16,1070,56.6737
0.4,17,1085,57.4682
0.4,18,1082,57.3093
0.4,19,1090,57.7331
0.4,20,1070,56.6737
0.425,01,985,52.1716
0.425,02,986,52.2246
0.425,03,1008,53.3898
0.425,04,1029,54.5021
0.425,05,1028,54.4492
0.425,06,1016,53.8136
0.425,07,1064,56.3559
0.425,08,1046,55.4025
0.425,09,1047,55.4555
0.425,10,1067,56.5148
0.425,11,1065,56.4089
0.425,12,1046,55.4025
0.425,13,1047,55.4555
0.425,14,1067,56.5148
0.425,15,1076,56.9915
0.425,16,1077,57.0445
0.425,17,1084,57.4153
0.425,18,1074,56.8856
0.425,19,1093,57.8919
0.425,20,1080,57.2034
0.45,01,994,52.6483
0.45,02,999,52.9131
0.45,03,1013,53.6547
0.45,04,1036,54.8729
0.45,05,1041,55.1377
0.45,06,1037,54.9258
0.45,07,1068,56.5678
0.45,08,1055,55.8792
0.45,09,1064,56.3559
0.45,10,1081,57.2564
0.45,11,1086,57.5212
0.45,12,1068,56.5678
0.45,13,1082,57.3093
0.45,14,1094,57.9449
0.45,15,1080,57.2034
0.45,16,1085,57.4682
0.45,17,1107,58.6335
0.45,18,1097,58.1038
0.45,19,1102,58.3686
0.45,20,1087,57.5742
0.475,01,1001,53.0191
0.475,02,1011,53.5487
0.475,03,1016,53.8136
0.475,04,1036,54.8729
0.475,05,1041,55.1377
0.475,06,1051,55.6674
0.475,07,1073,56.8326
0.475,08,1056,55.9322
0.475,09,1072,56.7797
0.475,10,1090,57.7331
0.475,11,1086,57.5212
0.475,12,1082,57.3093
0.475,13,1089,57.6801
0.475,14,1101,58.3157
0.475,15,1087,57.5742
0.475,16,1090,57.7331
0.475,17,1112,58.8983
0.475,18,1106,58.5805
0.475,19,1111,58.8453
0.475,20,1100,58.2627
0.5,01,1001,53.0191
0.5,02,1011,53.5487
0.5,03,1016,53.8136
0.5,04,1036,54.8729
0.5,05,1044,55.2966
0.5,06,1051,55.6674
0.5,07,1073,56.8326
0.5,08,1066,56.4619
0.5,09,1081,57.2564
0.5,10,1101,58.3157
0.5,11,1089,57.6801
0.5,12,1082,57.3093
0.5,13,1089,57.6801
0.5,14,1104,58.4746
0.5,15,1096,58.0508
0.5,16,1090,57.7331
0.5,17,1112,58.8983
0.5,18,1112,58.8983
0.5,19,1117,59.1631
0.5,20,1106,58.5805
