confidence_factor,number_of_bins,accuracy
0.025,01,49.7881
0.025,02,49.7881
0.025,03,49.7881
0.025,04,49.7881
0.025,05,49.7881
0.025,06,49.7881
0.025,07,49.7881
0.025,08,49.7881
0.025,09,49.7881
0.025,10,49.7881
0.025,11,49.7881
0.025,12,49.7881
0.025,13,49.7881
0.025,14,49.7881
0.025,15,49.7881
0.025,16,49.7881
0.025,17,49.7881
0.025,18,49.7881
0.025,19,49.7881
0.025,20,49.7881
0.05,01,49.8411
0.05,02,49.8411
0.05,03,49.8411
0.05,04,49.8411
0.05,05,49.8411
0.05,06,49.8411
0.05,07,49.8411
0.05,08,49.8411
0.05,09,49.8411
0.05,10,49.8411
0.05,11,49.8411
0.05,12,49.8411
0.05,13,49.8411
0.05,14,49.8411
0.05,15,49.8411
0.05,16,49.8411
0.05,17,49.8411
0.05,18,49.8411
0.05,19,49.8411
0.05,20,49.8411
0.075,01,49.8411
0.075,02,49.8411
0.075,03,49.8411
0.075,04,49.8411
0.075,05,49.8411
0.075,06,49.8411
0.075,07,49.8411
0.075,08,49.8411
0.075,09,49.8411
0.075,10,49.8411
0.075,11,49.8411
0.075,12,49.8411
0.075,13,49.8411
0.075,14,49.8411
0.075,15,49.8411
0.075,16,49.8411
0.075,17,49.8411
0.075,18,49.8411
0.075,19,49.8411
0.075,20,49.8411
0.1,01,49.8411
0.1,02,49.8411
0.1,03,49.8411
0.1,04,49.8411
0.1,05,49.8411
0.1,06,49.8411
0.1,07,49.8411
0.1,08,49.8411
0.1,09,49.8411
0.1,10,49.8411
0.1,11,49.8411
0.1,12,49.8411
0.1,13,49.8411
0.1,14,49.8411
0.1,15,49.8411
0.1,16,49.8411
0.1,17,49.8411
0.1,18,49.8411
0.1,19,49.8411
0.1,20,49.8411
0.125,01,49.8411
0.125,02,49.8411
0.125,03,49.8411
0.125,04,49.8411
0.125,05,49.8411
0.125,06,49.8411
0.125,07,49.8411
0.125,08,49.8411
0.125,09,49.8411
0.125,10,49.8411
0.125,11,49.8411
0.125,12,49.8411
0.125,13,49.8411
0.125,14,49.8411
0.125,15,49.8411
0.125,16,49.8411
0.125,17,49.8411
0.125,18,49.8411
0.125,19,49.8411
0.125,20,49.8411
0.150,01,49.947
0.150,02,49.947
0.150,03,49.947
0.150,04,49.947
0.150,05,49.947
0.150,06,49.947
0.150,07,49.947
0.150,08,49.947
0.150,09,49.947
0.150,10,49.947
0.150,11,49.947
0.150,12,49.947
0.150,13,49.947
0.150,14,49.947
0.150,15,49.947
0.150,16,49.947
0.150,17,49.947
0.150,18,49.947
0.150,19,49.947
0.150,20,49.947
0.175,01,49.947
0.175,02,49.947
0.175,03,49.947
0.175,04,49.947
0.175,05,49.947
0.175,06,49.947
0.175,07,49.947
0.175,08,49.947
0.175,09,49.947
0.175,10,49.947
0.175,11,49.947
0.175,12,49.947
0.175,13,49.947
0.175,14,49.947
0.175,15,49.947
0.175,16,49.947
0.175,17,49.947
0.175,18,49.947
0.175,19,49.947
0.175,20,49.947
0.2,01,50
0.2,02,50
0.2,03,50
0.2,04,50
0.2,05,50
0.2,06,50
0.2,07,50
0.2,08,50
0.2,09,50
0.2,10,50
0.2,11,50
0.2,12,50
0.2,13,50
0.2,14,50
0.2,15,50
0.2,16,50
0.2,17,50
0.2,18,50
0.2,19,50
0.2,20,50
0.225,01,50
0.225,02,50
0.225,03,50
0.225,04,50
0.225,05,50
0.225,06,50
0.225,07,50
0.225,08,50
0.225,09,50
0.225,10,50
0.225,11,50
0.225,12,50
0.225,13,50
0.225,14,50
0.225,15,50
0.225,16,50
0.225,17,50
0.225,18,50
0.225,19,50
0.225,20,50
0.25,01,51.2182
0.25,02,51.2182
0.25,03,51.2182
0.25,04,51.2182
0.25,05,51.2182
0.25,06,51.2182
0.25,07,51.2182
0.25,08,51.2182
0.25,09,51.2182
0.25,10,51.2182
0.25,11,51.2182
0.25,12,51.2182
0.25,13,51.2182
0.25,14,51.2182
0.25,15,51.2182
0.25,16,51.2182
0.25,17,51.2182
0.25,18,51.2182
0.25,19,51.2182
0.25,20,51.2182
0.275,01,51.2182
0.275,02,51.2182
0.275,03,51.2182
0.275,04,51.2182
0.275,05,51.2182
0.275,06,51.2182
0.275,07,51.2182
0.275,08,51.2182
0.275,09,51.2182
0.275,10,51.2182
0.275,11,51.2182
0.275,12,51.2182
0.275,13,51.2182
0.275,14,51.2182
0.275,15,51.2182
0.275,16,51.2182
0.275,17,51.2182
0.275,18,51.2182
0.275,19,51.2182
0.275,20,51.2182
0.3,01,51.4301
0.3,02,51.4301
0.3,03,51.4301
0.3,04,51.4301
0.3,05,51.4301
0.3,06,51.4301
0.3,07,51.4301
0.3,08,51.4301
0.3,09,51.4301
0.3,10,51.4301
0.3,11,51.4301
0.3,12,51.4301
0.3,13,51.4301
0.3,14,51.4301
0.3,15,51.4301
0.3,16,51.4301
0.3,17,51.4301
0.3,18,51.4301
0.3,19,51.4301
0.3,20,51.4301
0.325,01,52.0127
0.325,02,52.0127
0.325,03,52.0127
0.325,04,52.0127
0.325,05,52.0127
0.325,06,52.0127
0.325,07,52.0127
0.325,08,52.0127
0.325,09,52.0127
0.325,10,52.0127
0.325,11,52.0127
0.325,12,52.0127
0.325,13,52.0127
0.325,14,52.0127
0.325,15,52.0127
0.325,16,52.0127
0.325,17,52.0127
0.325,18,52.0127
0.325,19,52.0127
0.325,20,52.0127
0.350,01,52.3305
0.350,02,52.3305
0.350,03,52.3305
0.350,04,52.3305
0.350,05,52.3305
0.350,06,52.3305
0.350,07,52.3305
0.350,08,52.3305
0.350,09,52.3305
0.350,10,52.3305
0.350,11,52.3305
0.350,12,52.3305
0.350,13,52.3305
0.350,14,52.3305
0.350,15,52.3305
0.350,16,52.3305
0.350,17,52.3305
0.350,18,52.3305
0.350,19,52.3305
0.350,20,52.3305
0.375,01,52.3305
0.375,02,52.3305
0.375,03,52.3305
0.375,04,52.3305
0.375,05,52.3305
0.375,06,52.3305
0.375,07,52.3305
0.375,08,52.3305
0.375,09,52.3305
0.375,10,52.3305
0.375,11,52.3305
0.375,12,52.3305
0.375,13,52.3305
0.375,14,52.3305
0.375,15,52.3305
0.375,16,52.3305
0.375,17,52.3305
0.375,18,52.3305
0.375,19,52.3305
0.375,20,52.3305
0.4,01,53.0191
0.4,02,53.0191
0.4,03,53.0191
0.4,04,53.0191
0.4,05,53.0191
0.4,06,53.0191
0.4,07,53.0191
0.4,08,53.0191
0.4,09,53.0191
0.4,10,53.0191
0.4,11,53.0191
0.4,12,53.0191
0.4,13,53.0191
0.4,14,53.0191
0.4,15,53.0191
0.4,16,53.0191
0.4,17,53.0191
0.4,18,53.0191
0.4,19,53.0191
0.4,20,53.0191
0.425,01,53.178
0.425,02,53.178
0.425,03,53.178
0.425,04,53.178
0.425,05,53.178
0.425,06,53.178
0.425,07,53.178
0.425,08,53.178
0.425,09,53.178
0.425,10,53.178
0.425,11,53.178
0.425,12,53.178
0.425,13,53.178
0.425,14,53.178
0.425,15,53.178
0.425,16,53.178
0.425,17,53.178
0.425,18,53.178
0.425,19,53.178
0.425,20,53.178
0.45,01,53.178
0.45,02,53.178
0.45,03,53.178
0.45,04,53.178
0.45,05,53.178
0.45,06,53.178
0.45,07,53.178
0.45,08,53.178
0.45,09,53.178
0.45,10,53.178
0.45,11,53.178
0.45,12,53.178
0.45,13,53.178
0.45,14,53.178
0.45,15,53.178
0.45,16,53.178
0.45,17,53.178
0.45,18,53.178
0.45,19,53.178
0.45,20,53.178
0.475,01,53.3898
0.475,02,53.3898
0.475,03,53.3898
0.475,04,53.3898
0.475,05,53.3898
0.475,06,53.3898
0.475,07,53.3898
0.475,08,53.3898
0.475,09,53.3898
0.475,10,53.3898
0.475,11,53.3898
0.475,12,53.3898
0.475,13,53.3898
0.475,14,53.3898
0.475,15,53.3898
0.475,16,53.3898
0.475,17,53.3898
0.475,18,53.3898
0.475,19,53.3898
0.475,20,53.3898
0.5,01,53.3898
0.5,02,53.3898
0.5,03,53.3898
0.5,04,53.3898
0.5,05,53.3898
0.5,06,53.3898
0.5,07,53.3898
0.5,08,53.3898
0.5,09,53.3898
0.5,10,53.3898
0.5,11,53.3898
0.5,12,53.3898
0.5,13,53.3898
0.5,14,53.3898
0.5,15,53.3898
0.5,16,53.3898
0.5,17,53.3898
0.5,18,53.3898
0.5,19,53.3898
0.5,20,53.3898